Treatment	Egg_MassID	 Set 	TadpoleID	Rep 	SVL	ACT_Total_Dist	EXP_Total_Dist
Low	822	2	217	7	10.15	10958.73	18268.51
Low	822	2	217	8	9.83	13218.77	19122.5
Low	813	2	218	1	7.37	7658.2	6842.17
Low	813	2	218	2	7.11	6642.61	9738.98
Low	813	2	218	3	7.85	1464.71	5356.47
Low	813	2	218	4	8.06	10821.07	2746.94
Low	813	2	218	5	8.64	2016.56	4960.02
Low	813	2	218	6	8.58	8249.1	6499.03
Low	813	2	218	7	9.29	714.23	4919.33
Low	813	2	218	8	8.46	9053.56	2921.03
High	812	1	219	1	5.96	5460.77	7962.12
High	812	1	219	2	5.75	2383.87	643.45
High	812	1	219	3	5.99	4310.21	2998.04
High	812	1	219	4	5.49	3016.36	4897.86
High	812	1	219	5	5.56	6462.57	3356.11
High	812	1	219	6	6.09	5717.6	7209.79
High	812	1	219	7	6.31	13406.14	6098.76
High	812	1	219	8	7.12	5015.93	7823.31
High	813	2	221	1	8.04	1869.76	8542.7
High	813	2	221	2	7.76	2275.25	17083.61
High	813	2	221	3	7.41	7660.66	5488.88
High	813	2	221	4	7.9	4436.4	14014.09
High	813	2	221	5	8.22	4042.12	23786.03
High	813	2	221	6	8.43	6835.43	26809.19
High	813	2	221	7	9.32	6499.64	25982.78
High	813	2	221	8	8.73	2771.14	12897.13
High	815	2	222	1	4.85	6055.54	6526.08
High	815	2	222	2	6.05	1062.67	6417.82
High	815	2	222	3	6.29	8138.15	2573.34
High	815	2	222	4	6.82	3368.03	3042.03
High	815	2	222	5	7.58	6696.12	7736.9
High	815	2	222	6	9.05	10887.85	5259.85
High	815	2	222	7	7.06	14458.24	6150.58
High	815	2	222	8	7.95	4688.54	8741.57
Low	813	1	223	1	5.4	7739.61	8329.01
Low	812	1	224	1	5.3	3282.36	4479.42
Low	812	1	224	2	5.54	3042.7	4144.46
Low	812	1	224	3	5.08	7431.16	6058.34
Low	812	1	224	4	4.39	830.01	5985.54
Low	812	1	224	5	5.62	10196.65	3471.54
Low	812	1	224	6	6.18	1226.29	14139.89
Low	812	1	224	7	6.62	9071.14	13220.9
Low	812	1	224	8	5.92	1867.32	15702.93
High	822	1	226	1	7.277	3350.7	4353.95
High	822	1	226	2	6.75	5782.87	1308.14
High	822	1	226	3	6.75	2168.54	4017.23
High	822	1	226	4	6.27	6656.22	6720.76
High	822	1	226	5	7.48	4693.12	4547.48
High	822	1	226	6	7.01	5538.8	7498.04
High	822	1	226	7	7.53	6973.11	10781.34
High	822	1	226	8	6.29	7895.29	9454.99
Low	809	1	227	1	5.62	4022.32	2425.72
Low	809	1	227	2	5.91	13345.99	540.7
Low	809	1	227	3	7.23	9730.88	1487.05
Low	809	1	227	4	7.35	12555.44	3449.36
Low	809	1	227	5	8.1	2829.53	10604.25
Low	809	1	227	6	7.3	13105.12	2736.25
Low	809	1	227	7	6.8	5341.18	5579.34
Low	809	1	227	8	7.95	3762.39	4883.28
Low	769	2	231	1	5.17	6463.7	7407.26
Low	769	2	231	2	5.62	6136.61	3937.31
Low	769	2	231	3	5.99	9754.03	5238.28
Low	769	2	231	4	7.37	2518.69	5155.42
Low	769	2	231	5	7.72	2516.11	8917.51
Low	769	2	231	6	6.79	6632.45	3930.84
Low	769	2	231	7	7.2	12657.56	6378.05
Low	769	2	231	8	7.83	4898.43	4754.13
High	814	1	232	1	6.92	5731.64	12501.28
High	814	1	232	2	7	3920.92	6544.09
High	814	1	232	3	6.14	3256.94	6757.57
High	814	1	232	4	6.17	3631.93	6006.31
High	814	1	232	5	7.55	4076.72	11039.62
High	814	1	232	6	6.37	5267.6	5144.93
High	814	1	232	7	7.48	4474.16	8550.22
High	814	1	232	8	5.96	14739.71	4424.16
High	813	2	233	1	8.38	6340.01	8506.02
High	813	2	233	2	9.07	667.11	11333.64
High	813	2	233	3	8.14	4372.77	461.46
High	813	2	233	4	8.54	300.99	3685.99
High	813	2	233	5	7.7	11020.64	2006.44
High	813	2	233	6	8.14	10752.88	1777.25
High	813	2	233	7	9.21	10839.61	2512.62
High	813	2	233	8	8.43	4977.22	10091.36
High	769	2	234	1	9.02	3917.84	6609.09
High	769	2	234	2	9.35	4637.41	11388.44
High	769	2	234	3	8.62	9637.78	12735.04
High	769	2	234	4	9.19	8921.53	14231.96
High	769	2	234	5	10.12	3713.32	17461.63
High	769	2	234	6	10.53	6194.03	13580.36
High	769	2	234	7	9.55	10456.33	17722.63
High	769	2	234	8	10.28	11708.25	16175.2
High	769	1	235	1	5.59	2914.11	11477.93
High	769	1	235	2	4.46	3792.61	2631.48
High	769	1	235	3	6.6	3105.29	5934.31
High	769	1	235	4	6.79	4898.32	4985.56
High	769	1	235	5	7.36	1655.53	14551.8
High	769	1	235	6	4.54	1685.69	18951.66
High	769	1	235	7	7.32	3065.42	16722.88
High	769	1	235	8	7.11	4523.38	20942.86
Low	813	2	237	1	6.1	6055.54	6526.08
Low	813	2	237	2	9.1	10811.36	5410.8
Low	813	2	237	3	8.84	7274.21	2197.75
Low	813	2	237	4	8.31	2583.74	2965.89
Low	813	2	237	5	8.34	9143.41	2892.53
Low	813	2	237	6	9.18	2117.22	10970.16
Low	813	2	237	7	8.45	12979.39	4500.19
Low	813	2	237	8	9.62	7808.93	9692.33
Low	822	1	238	1	6.59	3789.76	11720.31
Low	822	1	238	2	4.84	11745.18	4479.12
Low	822	1	238	3	5.69	535.24	3905.67
Low	822	1	238	4	5.82	2364.44	11694.35
Low	822	1	238	5	6.56	2204.15	15345.86
Low	822	1	238	6	7.37	2622.25	15092.58
Low	822	1	238	7	7.18	13206.64	7378.43
Low	822	1	238	8	7.15	3263.19	19230.79
High	809	2	239	1	5.96	3290.26	4041.26
High	809	2	239	2	6.14	8741.38	3895.74
High	809	2	239	3	5.76	536.85	3775.82
High	809	2	239	4	4.85	1573.1	3516.97
High	809	2	239	5	6.2	8753.19	4504.25
High	809	2	239	6	6.47	5054.39	4614.7
High	809	2	239	7	7.78	7759.93	13656
High	809	2	239	8	7.86	4873.16	12507.03
Low	769	2	240	1	6.9	3283.54	4561.31
Low	769	2	240	2	8.26	1972.53	6009.34
Low	769	2	240	3	8.11	8573.42	13940.06
Low	769	2	240	4	7.67	10239.72	7888.78
Low	769	2	240	5	8.57	1459.74	17751.21
Low	769	2	240	6	8.89	11699.77	16451.99
Low	769	2	240	7	8.86	7868.66	13309.61
Low	769	2	240	8	6.55	9505.39	9834.12
Low	769	2	246	1	6.11	7809.01	14101.97
Low	769	2	246	2	5.89	1072.81	6748.12
Low	769	2	246	3	6.82	8216.59	14110.24
Low	769	2	246	4	7.76	12459.74	11889.75
Low	769	2	246	5	7.4	5265.24	14811.81
Low	769	2	246	6	6.8	4832.01	15143.63
Low	769	2	246	7	7.15	3990.87	15373.86
Low	769	2	246	8	7.11	6851.68	18491.77
High	822	1	250	1	6.65	4233.78	6358.46
High	822	1	250	2	5.07	2566.21	1616.43
High	822	1	250	3	6.4	1296.66	3385.76
High	822	1	250	4	4.7	5762.97	3993.94
High	822	1	250	5	6	4588.81	3689.46
High	822	1	250	6	6.22	3482.1	837.37
High	822	1	250	7	6.46	2239.77	2383.44
High	822	1	250	8	4.44	1278.67	714.22
High	814	1	1192	1	6	6361.44	9835.05
High	814	1	1192	2	4.92	6400.89	5598.05
High	814	1	1192	3	6.8	4046.93	6308.32
High	814	1	1192	4	7.03	3484.12	3233.02
High	814	1	1192	5	6.09	4571.48	3035.99
High	814	1	1192	6	5.47	2348.79	1947.4
High	814	1	1192	7	6.55	4883.29	4582.97
High	814	1	1192	8	7.05	9028.8	2229.72
